latitude,longitude
29.767,92.987
29.721,92.9
29.739,92.883
29.745,92.612
29.892,92.261
30.363,93.136
30.223,93.267
30.349,93.32
30.154,93.568
30.223,93.554
30.221,93.678
30.197,93.773
30.296,93.949
30.287,93.979
29.927,94.964
29.904,94.916
29.857,94.891
29.774,94.808
30.185,94.491
30.071,94.842
30.095,94.861
30.173,94.836
30.154,94.829
30.212,94.606
30.255,94.535
30.267,94.371
30.44,94.013
30.42,93.836
30.43,93.822
30.514,93.732
30.5,93.813
30.547,93.65
30.52,93.027
30.978,93.491
30.867,93.557
30.764,93.62
30.587,93.936
30.552,94.078
30.622,93.933
30.833,93.711
30.841,93.715
30.864,93.691
30.862,93.684
30.838,93.923
30.742,93.966
30.774,94.056
30.801,94.38
30.693,94.528
30.492,94.335
30.564,94.34
30.548,94.337
30.536,94.355
30.377,94.544
30.428,94.579
30.343,94.69
30.43,94.826
30.493,94.781
30.565,94.766
30.466,95.065
30.457,95.14
30.358,95.074
30.359,95.022
30.129,95.24
30.017,95.38
30.024,95.4
30.48,95.176
30.309,95.304
30.518,95.513
30.364,95.516
30.286,95.471
30.283,95.622
30.26,95.628
30.227,95.604
30.306,95.647
30.324,95.705
29.931,95.759
29.847,95.856
29.897,95.941
29.855,96.03
29.887,96.01
29.94,96.048
30.14,95.842
30.235,96.028
30.107,96.188
29.958,96.211
29.832,96.244
29.897,96.349
29.836,96.357
29.814,96.367
29.793,96.433
29.643,96.567
29.566,96.649
29.541,96.73
29.609,96.826
29.595,96.865
29.602,96.956
29.624,96.963
29.698,97.015
29.581,97.081
29.575,97.061
29.547,97.011
29.517,96.954
29.266,96.904
29.479,96.598
29.43,96.473
29.412,96.428
29.49,96.326
29.536,96.335
29.572,96.281
29.629,96.205
29.698,96.071
29.686,95.969
29.685,95.899
29.667,95.796
29.798,95.213
30.501,95.155
29.6,95.69
29.567,95.966
29.401,95.971
29.366,95.936
29.393,95.891
28.978,96.503
29.307,96.197
29.241,96.05
29.467,96.092
29.472,96.128
29.519,96.144
29.28,96.403
29.301,96.573
29.192,96.556
28.848,96.802
28.878,97.124
28.888,97.284
28.738,97.291
28.976,97.256
29.367,97.009
29.464,96.982
29.421,97.132
29.448,97.176
29.346,97.176
29.39,97.197
29.194,97.298
29.195,97.373
29.387,97.295
29.473,97.355
35.196,78.066
35.113,78.294
35.131,78.24
35.058,78.189
35.125,78.366
35.083,78.508
34.787,78.255
34.898,78.283
34.824,78.462
34.88,78.582
34.751,78.647
34.652,78.432
34.654,78.426
34.431,79.061
34.187,78.936
33.178,79.394
31.158,81.533
31.109,81.515
31.191,81.283
31.146,81.25
31.301,81.153
31.644,80.776
31.752,80.713
31.737,80.686
31.945,80.438
31.867,80.504
31.858,80.493
31.833,80.448
31.858,80.504
31.773,80.572
31.731,80.589
31.639,80.662
31.365,80.92
31.478,80.282
31.587,80.13
31.683,80.129
31.711,79.972
32.046,79.885
32.447,79.601
32.411,79.536
32.565,79.435
32.526,79.413
32.53,79.38
32.598,79.359
32.211,78.435
32.365,78.494
32.42,78.543
32.419,78.51
32.41,78.835
31.881,78.736
32.043,78.892
32.207,79.011
32.25,79.015
32.449,79.148
32.466,79.209
32.51,79.319
32.369,79.425
32.183,79.756
32.123,79.791
31.244,80.836
31.193,81.139
30.511,81.329
31.118,81.257
31.06,81.44
31.093,81.521
31.058,81.51
31.079,81.551
31.023,81.564
31.501,80.525
30.582,80.385
31.097,79.506
31.092,79.493
31.154,79.441
31.33,78.812
31.456,78.819
44.8,80.25
44.63,80.6
44.55,80.47
44.52,80.55
44.53,80.62
44.02,82.88
43.98,83.22
43.95,83.25
43.95,83.37
43.85,83.77
43.83,83.93
43.55,84.53
43.48,84.87
43.48,84.77
43.45,84.78
43.47,84.72
43.48,84.67
43.5,84.67
43.5,84.55
43.53,84.3
43.48,84.23
43.48,84.17
43.4,84.65
43.43,84.75
43.43,84.78
43.43,84.8
43.37,84.88
43.38,84.9
43.38,84.98
43.12,83.85
43.12,83.78
42.97,82.82
42.88,82.47
42.87,82.4
42.85,82.37
42.85,82.35
42.73,82.17
42.78,82.52
42.8,82.5
42.87,82.55
42.87,82.67
42.73,83.1
42.7,82.97
42.67,82.9
42.68,82.63
42.55,82.6
42.48,82.35
43.52,82.32
42.47,82.27
42.42,82.02
42.4,81.98
42.68,81.73
42.68,81.7
42.65,81.32
42.6,81.17
42.63,81.32
42.43,81.63
42.48,81.65
42.52,81.68
42.5,81.6
42.5,81.57
42.52,81.43
42.35,81.18
42.35,81.07
42.45,81.15
42.52,81.12
42.55,80.9
42.55,80.85
42.5,80.52
42.43,80.48
42.48,80.47
42.47,80.45
42.35,80.42
42.33,80.33
42.32,80.28
37.55,102.13
37.58,102
37.58,102.15
37.57,102.12
37.62,102.07
37.62,101.63
38.28,100.5
38.28,100.48
38.3,100.28
38.43,99.37
38.58,99.05
39,98.92
38.65,99.6
38.67,99.6
38.92,99.33
39.07,98.93
39.15,98.73
39.13,98.65
39.22,98.58
39.22,98.55
39.25,98.4
39.27,98.53
39.23,98.5
39.23,98.48
39,98.45
39,98.42
39.2,98.37
39.22,98.23
39.43,98.13
39.3,98.12
39.32,98.1
39.17,98.22
39.17,98.22
39.17,98.25
38.62,98.47
38.78,98.1
38.9,97.88
38.93,97.82
38.93,97.82
38.97,97.75
39.37,97.62
39.33,97.57
39.4,97.53
39.2,97.18
38.45,98.02
38.38,97.95
38.47,97.93
38.52,97.72
38.57,97.77
38.65,97.75
38.58,97.63
38.88,96.97
39.45,96.67
39.42,96.63
39.52,96.43
39.5,96.43
39.5,96.38
39.5,96.43
39.48,96.47
39.4,96.58
39.37,96.63
38.6,97.32
38.6,97.35
38.57,96.47
38.77,95.98
39.1,95.48
39.25,95.25
39.25,95.23
39.28,93.77
39.28,93.73
39.27,93.6
38.22,98.67
35.413,97.584
35.95,95.417
35.603,94.758
35.6,94.783
35.596,94.891
35.615,94.904
35.643,94.963
35.616,94.705
35.655,94.512
35.617,94.44
35.652,94.372
35.639,94.356
35.648,94.313
35.783,93.527
36.226,92.787
36.048,92.427
35.862,90.799
35.99,90.896
36.007,90.977
36.054,91.143
36.214,92.072
36.213,92.131
36.264,91.984
36.53,91.407
36.658,91.02
36.63,91.029
36.602,91.055
36.584,91.103
36.725,90.799
37.694,90.627
37.633,90.787
37.313,91.163
37.327,91.102
37.506,90.407
37.682,88.211
37.661,88.126
37.679,87.924
37.696,87.902
38.352,89.569
39.18,95.3
38.2,96.07
38.23,96.03
38.45,95.82
38.4,95.7
38.35,95.62
38.35,95.58
38.6,97.37
38.55,97.63
38.3,95.62
38.33,95.63
38.37,95.67
38.18,96.1
38.08,96.3
38.316,89.462
38.269,89.243
37.872,87.294
37.911,87.397
37.696,87.828
37.689,87.62
37.657,88.148
37.562,88.188
37.479,88.006
37.527,87.871
37.424,87.841
36.68,87.484
36.573,87.493
36.586,87.43
36.618,87.4
36.526,87.419
